epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1915.29,0.17592,0.17743,0.14297,0.80166,0.99934,1,0.995,0.995,0.99934,1,0.995,0.99145,0.10092,0.1245,0.09627,0.76835,0.000330233,0.000330233,0.000330233
83,1939.78,0.16881,0.1683,0.14177,0.80265,0.99967,1,0.995,0.995,0.99967,1,0.995,0.99158,0.09864,0.12138,0.09413,0.76801,0.000313729,0.000313729,0.000313729
84,1963.38,0.17592,0.1781,0.14239,0.79955,0.99933,1,0.995,0.995,0.99933,1,0.995,0.99119,0.09967,0.12922,0.09067,0.7675,0.000297226,0.000297226,0.000297226
85,1986.8,0.17188,0.17366,0.13604,0.7987,0.99926,1,0.995,0.995,0.99926,1,0.995,0.99115,0.09925,0.12185,0.09081,0.76758,0.000280723,0.000280723,0.000280723
86,2010.43,0.17433,0.17949,0.13891,0.80102,0.99938,1,0.995,0.995,0.99938,1,0.995,0.99179,0.09421,0.12344,0.09383,0.76802,0.00026422,0.00026422,0.00026422
87,2034.19,0.16886,0.16722,0.14155,0.80229,0.99934,1,0.995,0.995,0.99934,1,0.995,0.99166,0.09772,0.11797,0.09349,0.7674,0.000247716,0.000247716,0.000247716
88,2057.61,0.17435,0.17806,0.1418,0.79841,0.99967,1,0.995,0.995,0.99967,1,0.995,0.98986,0.09738,0.12353,0.09244,0.76756,0.000231213,0.000231213,0.000231213
89,2081.24,0.16624,0.17654,0.13189,0.79491,0.99966,1,0.995,0.995,0.99966,1,0.995,0.9914,0.09266,0.1225,0.0894,0.76694,0.00021471,0.00021471,0.00021471
90,2104.93,0.16761,0.18221,0.13275,0.79969,0.99905,1,0.995,0.995,0.99905,1,0.995,0.99153,0.09286,0.12061,0.08785,0.76747,0.000198206,0.000198206,0.000198206
91,2158.5,0.12447,0.1546,0.10896,0.76835,0.99937,1,0.995,0.995,0.99937,1,0.995,0.99095,0.09818,0.1212,0.08841,0.76721,0.000181703,0.000181703,0.000181703
92,2180.08,0.12618,0.15584,0.1093,0.76505,0.99937,1,0.995,0.995,0.99937,1,0.995,0.9906,0.09605,0.12686,0.08515,0.76747,0.0001652,0.0001652,0.0001652
93,2202.05,0.1215,0.15066,0.10675,0.76479,0.99933,1,0.995,0.995,0.99933,1,0.995,0.99137,0.09069,0.1236,0.08639,0.76697,0.000148696,0.000148696,0.000148696
94,2224.64,0.12342,0.15446,0.10598,0.77366,0.99935,1,0.995,0.995,0.99935,1,0.995,0.99151,0.0916,0.12129,0.08729,0.7668,0.000132193,0.000132193,0.000132193
95,2247.38,0.12187,0.14941,0.10617,0.76353,0.99933,1,0.995,0.995,0.99933,1,0.995,0.99139,0.09083,0.11945,0.08411,0.76716,0.00011569,0.00011569,0.00011569
96,2269.94,0.11625,0.1486,0.10174,0.76591,0.99967,1,0.995,0.995,0.99967,1,0.995,0.99058,0.09048,0.12471,0.08144,0.76682,9.91865e-05,9.91865e-05,9.91865e-05
97,2293.01,0.1166,0.15106,0.09875,0.76252,0.99967,1,0.995,0.995,0.99967,1,0.995,0.99157,0.08688,0.12038,0.08133,0.76635,8.26832e-05,8.26832e-05,8.26832e-05
98,2315.54,0.11193,0.14699,0.09513,0.77113,0.99967,1,0.995,0.995,0.99967,1,0.995,0.99163,0.0884,0.11958,0.07774,0.76635,6.61799e-05,6.61799e-05,6.61799e-05
99,2338.17,0.10947,0.14735,0.09385,0.76799,0.99967,1,0.995,0.995,0.99967,1,0.995,0.99116,0.08677,0.1194,0.07782,0.76634,4.96766e-05,4.96766e-05,4.96766e-05
100,2360.8,0.10813,0.14785,0.09231,0.76028,0.99967,1,0.995,0.995,0.99967,1,0.995,0.99109,0.08433,0.11978,0.07681,0.7661,3.31733e-05,3.31733e-05,3.31733e-05
